trees,split_attr,accuracy
35,12,88.0081300813008
35,13,88.0081300813008
36,1,92.27642276422763
36,2,92.47967479674796
36,3,91.26016260162602
36,4,91.26016260162602
36,5,90.85365853658536
36,6,89.6341463414634
36,7,89.43089430894308
36,8,89.6341463414634
36,9,89.22764227642277
36,10,89.83739837398373
36,11,86.9918699186992
36,12,89.02439024390246
36,13,88.41463414634147
37,1,92.88617886178862
37,2,91.869918699187
37,3,92.07317073170731
37,4,91.869918699187
37,5,90.85365853658536
37,6,90.65040650406506
37,7,88.8211382113821
37,8,88.8211382113821
37,9,89.43089430894308
37,10,91.46341463414636
37,11,88.8211382113821
37,12,88.8211382113821
37,13,88.0081300813008
38,1,91.66666666666666
38,2,92.88617886178862
38,3,92.47967479674796
38,4,91.05691056910568
38,5,90.85365853658536
38,6,89.6341463414634
38,7,89.83739837398373
38,8,89.83739837398373
38,9,89.6341463414634
38,10,89.22764227642277
38,11,89.22764227642277
38,12,88.0081300813008
38,13,88.0081300813008
39,1,92.6829268292683
39,2,92.88617886178862
39,3,91.66666666666666
39,4,91.869918699187
39,5,90.65040650406506
39,6,90.04065040650406
39,7,91.05691056910568
39,8,89.83739837398373
39,9,89.83739837398373
39,10,89.6341463414634
39,11,88.6178861788618
39,12,88.41463414634147
39,13,86.58536585365853
40,1,92.07317073170731
40,2,92.27642276422763
40,3,92.07317073170731
40,4,92.6829268292683
40,5,90.24390243902441
40,6,91.26016260162602
40,7,90.04065040650406
40,8,89.22764227642277
40,9,89.83739837398373
40,10,89.02439024390246
40,11,88.8211382113821
40,12,89.43089430894308
40,13,87.60162601626014
41,1,91.66666666666666
41,2,91.869918699187
41,3,91.66666666666666
41,4,91.26016260162602
41,5,91.46341463414636
41,6,90.04065040650406
41,7,89.83739837398373
41,8,90.24390243902441
41,9,89.02439024390246
41,10,88.6178861788618
41,11,88.41463414634147
41,12,87.8048780487805
41,13,88.21138211382113
42,1,93.4959349593496
42,2,92.88617886178862
42,3,91.05691056910568
42,4,92.47967479674796
42,5,90.04065040650406
42,6,90.04065040650406
42,7,90.4471544715447
42,8,89.83739837398373
42,9,90.04065040650406
42,10,89.43089430894308
42,11,89.83739837398373
42,12,88.0081300813008
42,13,88.41463414634147
43,1,92.47967479674796
43,2,92.07317073170731
43,3,92.07317073170731
43,4,91.05691056910568
43,5,91.05691056910568
43,6,90.65040650406506
43,7,89.43089430894308
43,8,90.65040650406506
43,9,89.22764227642277
43,10,89.02439024390246
43,11,88.41463414634147
43,12,88.21138211382113
43,13,88.41463414634147
44,1,92.88617886178862
44,2,93.69918699186992
44,3,92.07317073170731
44,4,91.05691056910568
44,5,90.65040650406506
44,6,90.4471544715447
44,7,91.46341463414636
44,8,89.6341463414634
44,9,89.43089430894308
44,10,89.22764227642277
44,11,89.22764227642277
44,12,89.02439024390246
44,13,88.41463414634147
45,1,91.66666666666666
45,2,93.08943089430895
45,3,92.47967479674796
45,4,91.46341463414636
45,5,91.46341463414636
45,6,90.85365853658536
45,7,89.22764227642277
45,8,89.43089430894308
45,9,89.6341463414634
45,10,89.6341463414634
45,11,88.6178861788618
45,12,88.41463414634147
45,13,87.39837398373986
46,1,92.07317073170731
46,2,92.6829268292683
46,3,93.69918699186992
46,4,92.07317073170731
46,5,91.66666666666666
46,6,90.85365853658536
46,7,89.6341463414634
46,8,90.65040650406506
46,9,89.6341463414634
46,10,89.02439024390246
46,11,88.41463414634147
46,12,87.39837398373986
46,13,87.39837398373986
47,1,92.07317073170731
47,2,92.6829268292683
47,3,92.6829268292683
47,4,90.85365853658536
47,5,91.26016260162602
47,6,90.24390243902441
47,7,90.85365853658536
47,8,89.83739837398373
47,9,88.8211382113821
47,10,89.43089430894308
47,11,88.6178861788618
47,12,88.8211382113821
47,13,88.0081300813008
48,1,94.3089430894309
48,2,91.869918699187
48,3,92.47967479674796
48,4,91.869918699187
48,5,92.6829268292683
48,6,91.26016260162602
48,7,89.02439024390246
48,8,89.6341463414634
48,9,89.43089430894308
48,10,88.21138211382113
48,11,90.04065040650406
48,12,87.39837398373986
48,13,89.43089430894308
49,1,92.6829268292683
49,2,92.47967479674796
49,3,92.27642276422763
49,4,91.26016260162602
49,5,90.85365853658536
49,6,90.4471544715447
49,7,89.83739837398373
49,8,89.83739837398373
49,9,91.46341463414636
